ID,Customer Age (in months),CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1,"Churn (1 = Yes, 0 = No)",
63.00,47.00,53.00,-27.00,0.00,0.00,0.00,0.00,-4.00,0.00,41.00,4.00,0.00,
64.00,48.00,39.00,-52.00,0.00,0.00,0.00,0.00,-1.00,0.00,33.00,-5.00,0.00,
65.00,48.00,103.00,4.00,0.00,-3.00,0.00,-3.00,14.00,0.00,-9.00,0.00,0.00,
66.00,13.00,122.00,31.00,6.00,4.00,3.00,0.00,94.00,4.00,-1.00,-9.00,1.00,
67.00,48.00,109.00,50.00,0.00,-1.00,0.00,-2.00,2.00,1.00,-221.00,13.00,0.00,
68.00,43.00,0.00,0.00,1.00,1.00,2.00,2.00,0.00,0.00,0.00,31.00,0.00,
69.00,46.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,31.00,0.00,
70.00,47.00,145.00,10.00,0.00,0.00,0.00,0.00,38.00,0.00,-5083.00,0.00,0.00,
71.00,48.00,108.00,33.00,0.00,0.00,0.00,0.00,6.00,0.00,993.00,31.00,0.00,
72.00,45.00,45.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,-13.00,3.00,0.00,
73.00,47.00,193.00,0.00,0.00,0.00,0.00,0.00,47.00,1.00,83.00,-1.00,0.00,
74.00,47.00,101.00,39.00,0.00,0.00,0.00,0.00,24.00,1.00,-2.00,2.00,0.00,
75.00,47.00,17.00,-10.00,0.00,0.00,0.00,0.00,-4.00,0.00,2.00,-10.00,0.00,
76.00,45.00,1.00,-70.00,0.00,0.00,0.00,0.00,-7.00,-1.00,0.00,3.00,0.00,
77.00,46.00,158.00,2.00,0.00,-1.00,0.00,-3.00,5.00,-4.00,12.00,3.00,0.00,
78.00,38.00,198.00,-15.00,0.00,0.00,0.00,0.00,21.00,0.00,-172.00,0.00,0.00,
79.00,38.00,77.00,-2.00,0.00,0.00,0.00,0.00,-3.00,0.00,716.00,-1.00,0.00,
80.00,47.00,82.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,3.00,0.00,
81.00,46.00,94.00,10.00,1.00,1.00,3.00,3.00,42.00,0.00,-63.00,-24.00,0.00,
82.00,28.00,152.00,-4.00,0.00,0.00,0.00,0.00,19.00,0.00,9.00,-2.00,0.00,
83.00,46.00,125.00,15.00,1.00,1.00,3.00,3.00,11.00,0.00,-100.00,3.00,0.00,
84.00,47.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,
85.00,43.00,166.00,-1.00,0.00,0.00,0.00,0.00,10.00,-1.00,1304.00,-1.00,0.00,
86.00,46.00,61.00,-11.00,1.00,1.00,3.00,3.00,10.00,0.00,-35.00,15.00,0.00,
87.00,42.00,97.00,2.00,0.00,-1.00,0.00,-3.00,-28.00,0.00,0.00,0.00,0.00,
88.00,46.00,74.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-3.00,0.00,
89.00,46.00,4.00,4.00,1.00,1.00,2.00,2.00,10.00,0.00,0.00,31.00,0.00,
90.00,46.00,145.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,629.00,0.00,0.00,
91.00,45.00,75.00,-17.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,-3.00,0.00,
92.00,46.00,79.00,13.00,0.00,0.00,0.00,0.00,-4.00,0.00,4.00,-22.00,0.00,
93.00,46.00,175.00,10.00,0.00,0.00,0.00,0.00,22.00,0.00,-1419.00,0.00,0.00,
94.00,44.00,0.00,-12.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,-90.00,1.00,
95.00,46.00,6.00,6.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,31.00,0.00,
96.00,46.00,85.00,-36.00,0.00,0.00,0.00,0.00,2.00,-1.00,-37.00,-4.00,0.00,
97.00,45.00,59.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,-57.00,31.00,0.00,
98.00,46.00,109.00,-13.00,0.00,0.00,0.00,0.00,1.00,-2.00,158.00,-9.00,0.00,
99.00,44.00,87.00,45.00,0.00,0.00,0.00,0.00,10.00,1.00,-4.00,30.00,0.00,
100.00,45.00,161.00,-10.00,0.00,0.00,0.00,0.00,-10.00,-4.00,71.00,0.00,0.00,
101.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,31.00,0.00,
102.00,45.00,169.00,-8.00,9.00,-5.00,3.00,0.00,54.00,0.00,345.00,0.00,0.00,
103.00,44.00,88.00,22.00,0.00,-1.00,0.00,-3.00,30.00,0.00,-5.00,2.00,0.00,
104.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
105.00,42.00,26.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,-5.00,1.00,
106.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,
107.00,45.00,155.00,-6.00,0.00,0.00,0.00,0.00,-1.00,-4.00,127.00,0.00,0.00,
108.00,45.00,71.00,-11.00,0.00,0.00,0.00,0.00,-15.00,-1.00,0.00,0.00,0.00,
109.00,40.00,0.00,-125.00,0.00,0.00,0.00,0.00,-8.00,0.00,-216.00,6.00,0.00,
110.00,44.00,0.00,-6.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,-72.00,0.00,
111.00,29.00,103.00,-8.00,0.00,0.00,0.00,0.00,3.00,3.00,15.00,-70.00,0.00,
112.00,45.00,39.00,23.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,31.00,0.00,
113.00,43.00,42.00,10.00,0.00,0.00,0.00,0.00,6.00,0.00,-6.00,30.00,0.00,
114.00,45.00,73.00,-6.00,0.00,0.00,0.00,0.00,6.00,0.00,-1.00,-24.00,0.00,
115.00,45.00,58.00,38.00,0.00,0.00,0.00,0.00,6.00,0.00,-20.00,5.00,0.00,
116.00,45.00,68.00,-7.00,1.00,1.00,0.00,0.00,22.00,0.00,-7.00,31.00,0.00,
117.00,45.00,89.00,-5.00,0.00,-2.00,0.00,-3.00,-61.00,0.00,1013.00,0.00,0.00,
118.00,45.00,138.00,4.00,0.00,0.00,0.00,0.00,-8.00,0.00,534.00,-29.00,0.00,
119.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
120.00,45.00,90.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,-73.00,0.00,0.00,
121.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
122.00,43.00,48.00,-11.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,3.00,0.00,
123.00,44.00,10.00,-25.00,0.00,-1.00,0.00,-2.00,-4.00,0.00,-5.00,18.00,0.00,
124.00,44.00,106.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,30.00,4.00,0.00,
125.00,44.00,128.00,35.00,0.00,-3.00,0.00,-3.00,-7.00,1.00,0.00,-15.00,0.00,
126.00,45.00,90.00,-5.00,0.00,0.00,0.00,0.00,21.00,0.00,-39.00,2.00,0.00,
127.00,45.00,47.00,-21.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,3.00,0.00,
128.00,41.00,31.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,-32.00,31.00,0.00,
129.00,45.00,191.00,-1.00,0.00,0.00,0.00,0.00,12.00,-1.00,-28.00,0.00,0.00,
130.00,45.00,45.00,10.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,2.00,0.00,
131.00,45.00,121.00,90.00,1.00,1.00,3.00,3.00,184.00,4.00,17.00,-7.00,0.00,
132.00,44.00,76.00,32.00,0.00,0.00,0.00,0.00,18.00,0.00,2.00,31.00,0.00,
133.00,44.00,50.00,25.00,0.00,0.00,0.00,0.00,4.00,0.00,100.00,-187.00,0.00,
134.00,43.00,101.00,84.00,0.00,0.00,0.00,0.00,6.00,1.00,38.00,30.00,0.00,
135.00,44.00,74.00,-38.00,0.00,0.00,0.00,0.00,0.00,-2.00,243.00,0.00,0.00,
136.00,44.00,105.00,-5.00,0.00,0.00,0.00,0.00,1.00,0.00,669.00,18.00,0.00,
137.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
138.00,41.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,
139.00,44.00,55.00,-73.00,2.00,-1.00,3.00,0.00,-39.00,-3.00,-45.00,-1.00,0.00,
140.00,43.00,91.00,-50.00,0.00,-3.00,0.00,-3.00,-18.00,-2.00,2034.00,-4.00,0.00,
141.00,45.00,19.00,-1.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,-3.00,0.00,
142.00,43.00,15.00,-27.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,11.00,0.00,
143.00,44.00,59.00,0.00,0.00,0.00,0.00,0.00,14.00,1.00,0.00,0.00,0.00,
144.00,43.00,70.00,-6.00,0.00,0.00,0.00,0.00,-4.00,-3.00,0.00,1.00,0.00,
145.00,44.00,180.00,2.00,0.00,0.00,0.00,0.00,36.00,5.00,-1698.00,0.00,0.00,
146.00,42.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,
147.00,43.00,38.00,-11.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,
148.00,42.00,116.00,-1.00,0.00,0.00,0.00,0.00,12.00,0.00,-61.00,31.00,0.00,
149.00,44.00,95.00,-15.00,0.00,0.00,0.00,0.00,-11.00,0.00,6.00,10.00,0.00,
150.00,44.00,181.00,-2.00,0.00,0.00,0.00,0.00,20.00,-1.00,1544.00,0.00,0.00,
151.00,43.00,90.00,10.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,
152.00,40.00,120.00,2.00,1.00,1.00,2.00,2.00,35.00,0.00,35.00,3.00,0.00,
153.00,38.00,116.00,1.00,1.00,0.00,3.00,0.00,41.00,1.00,0.00,-26.00,1.00,
154.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,31.00,0.00,
155.00,43.00,193.00,15.00,3.00,1.00,3.00,0.50,9.00,1.00,-7657.00,0.00,0.00,
156.00,41.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,1.00,
157.00,43.00,105.00,0.00,0.00,0.00,0.00,0.00,-4.00,0.00,0.00,-2.00,0.00,
158.00,42.00,33.00,-12.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00,0.00,
159.00,43.00,93.00,-20.00,0.00,0.00,0.00,0.00,-4.00,0.00,-3745.00,-4.00,0.00,
160.00,42.00,80.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,21.00,0.00,
161.00,42.00,81.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,2.00,-3.00,0.00,
162.00,43.00,172.00,37.00,0.00,0.00,0.00,0.00,11.00,2.00,3460.00,2.00,0.00,
163.00,42.00,36.00,-4.00,0.00,0.00,0.00,0.00,-1.00,0.00,-3.00,27.00,0.00,
164.00,43.00,188.00,0.00,0.00,-1.00,0.00,-3.00,5.00,0.00,1708.00,0.00,0.00,
165.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
166.00,43.00,51.00,-35.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,-89.00,0.00,
167.00,43.00,83.00,-61.00,0.00,0.00,0.00,0.00,8.00,0.00,-3.00,-2.00,0.00,
168.00,42.00,88.00,-7.00,0.00,0.00,0.00,0.00,-10.00,0.00,-2611.00,1.00,0.00,
169.00,42.00,40.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-3.00,-23.00,0.00,
170.00,43.00,68.00,-1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,-67.00,0.00,
171.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
172.00,43.00,136.00,9.00,0.00,0.00,0.00,0.00,21.00,0.00,-200.00,-5.00,0.00,
173.00,43.00,171.00,47.00,3.00,3.00,3.00,3.00,85.00,0.00,3.00,0.00,0.00,
174.00,42.00,63.00,20.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,31.00,0.00,
175.00,43.00,63.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,
176.00,43.00,122.00,-44.00,0.00,-1.00,0.00,-3.00,-3.00,-3.00,705.00,-4.00,0.00,
177.00,42.00,60.00,0.00,1.00,1.00,3.00,3.00,30.00,0.00,0.00,0.00,0.00,
178.00,42.00,76.00,-8.00,0.00,0.00,0.00,0.00,12.00,0.00,1580.00,31.00,0.00,
179.00,42.00,44.00,-11.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-1.00,0.00,
180.00,42.00,114.00,18.00,1.00,0.00,3.00,0.00,33.00,6.00,0.00,4.00,0.00,
181.00,42.00,69.00,69.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,31.00,0.00,
182.00,42.00,85.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,-3.00,0.00,
183.00,42.00,0.00,-17.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,25.00,0.00,
184.00,42.00,131.00,-2.00,0.00,0.00,0.00,0.00,2.00,0.00,489.00,31.00,0.00,
185.00,41.00,60.00,29.00,0.00,0.00,0.00,0.00,4.00,0.00,-285.00,10.00,0.00,
186.00,42.00,189.00,2.00,2.00,2.00,3.00,3.00,32.00,2.00,-145.00,0.00,0.00,
187.00,42.00,178.00,-1.00,1.00,0.00,3.00,0.00,21.00,-1.00,104.00,0.00,0.00,
188.00,42.00,105.00,5.00,0.00,0.00,0.00,0.00,-9.00,0.00,0.00,0.00,0.00,
189.00,42.00,148.00,-14.00,1.00,0.00,2.00,-1.00,28.00,2.00,723.00,0.00,0.00,
190.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,31.00,0.00,
191.00,41.00,104.00,-10.00,0.00,0.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,
192.00,42.00,44.00,-25.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,-95.00,0.00,
193.00,42.00,118.00,79.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,18.00,0.00,
194.00,42.00,16.00,10.00,2.00,2.00,3.00,3.00,19.00,0.00,0.00,-92.00,0.00,
195.00,42.00,183.00,31.00,5.00,3.00,3.00,0.00,82.00,-4.00,124.00,0.00,0.00,
196.00,42.00,120.00,-10.00,0.00,0.00,0.00,0.00,5.00,0.00,-166.00,0.00,0.00,
197.00,40.00,107.00,-7.00,1.00,1.00,3.00,3.00,-33.00,-4.00,-22.00,-3.00,0.00,
198.00,40.00,165.00,30.00,2.00,2.00,3.00,3.00,52.00,0.00,-28.00,1.00,0.00,
199.00,41.00,130.00,18.00,0.00,0.00,0.00,0.00,13.00,-2.00,-380.00,0.00,0.00,
200.00,40.00,130.00,0.00,1.00,1.00,3.00,3.00,-7.00,0.00,-87.00,4.00,1.00,
201.00,41.00,145.00,18.00,4.00,3.00,3.00,0.00,15.00,0.00,33.00,-3.00,0.00,
202.00,40.00,115.00,10.00,0.00,0.00,0.00,0.00,16.00,1.00,5.00,-3.00,0.00,
203.00,39.00,15.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.00,31.00,0.00,
204.00,36.00,105.00,-1.00,0.00,0.00,0.00,0.00,26.00,0.00,-61.00,-1.00,1.00,
205.00,40.00,73.00,50.00,0.00,0.00,0.00,0.00,10.00,0.00,1300.00,31.00,0.00,
206.00,13.00,121.00,-15.00,0.00,0.00,0.00,0.00,1.00,-1.00,266.00,0.00,0.00,
207.00,13.00,3.00,0.00,2.00,1.00,3.00,3.00,19.00,0.00,0.00,-16.00,0.00,
208.00,7.00,141.00,22.00,2.00,1.00,3.00,0.00,70.00,0.00,72.00,-3.00,0.00,
209.00,14.00,165.00,67.00,2.00,1.00,3.00,0.00,97.00,15.00,-1.00,-9.00,0.00,
210.00,14.00,36.00,-44.00,0.00,-1.00,0.00,-3.00,6.00,0.00,150.00,2.00,0.00,
211.00,12.00,143.00,37.00,0.00,0.00,0.00,0.00,50.00,3.00,18.00,28.00,1.00,
212.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,
213.00,14.00,124.00,-6.00,0.00,0.00,0.00,0.00,-7.00,0.00,28.00,7.00,0.00,
214.00,14.00,150.00,50.00,0.00,0.00,0.00,0.00,-13.00,2.00,76.00,0.00,0.00,
215.00,14.00,109.00,-3.00,0.00,0.00,0.00,0.00,2.00,0.00,463.00,9.00,0.00,
216.00,13.00,118.00,-1.00,1.00,1.00,3.00,3.00,41.00,-2.00,5.00,0.00,0.00,
217.00,12.00,215.00,8.00,2.00,1.00,3.00,1.00,17.00,-4.00,4914.00,0.00,0.00,
218.00,14.00,150.00,-44.00,0.00,0.00,0.00,0.00,-1.00,-4.00,14868.00,-16.00,0.00,
219.00,11.00,158.00,32.00,0.00,0.00,0.00,0.00,33.00,0.00,-41.00,0.00,0.00,
220.00,11.00,87.00,20.00,0.00,0.00,0.00,0.00,27.00,0.00,-76.00,0.00,0.00,
221.00,14.00,173.00,9.00,1.00,-1.00,3.00,0.00,27.00,0.00,-785.00,0.00,0.00,
222.00,12.00,119.00,-16.00,0.00,0.00,0.00,0.00,45.00,2.00,-301.00,0.00,0.00,
223.00,13.00,167.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,29.00,-3.00,0.00,
224.00,14.00,115.00,16.00,0.00,0.00,0.00,0.00,-8.00,0.00,-11.00,7.00,0.00,
225.00,13.00,165.00,77.00,0.00,-1.00,0.00,-3.00,42.00,0.00,-117.00,-4.00,0.00,
226.00,14.00,59.00,-11.00,0.00,0.00,0.00,0.00,72.00,0.00,-11.00,-2.00,0.00,
227.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,31.00,1.00,
228.00,14.00,5.00,-21.00,0.00,0.00,0.00,0.00,-1.00,0.00,-711.00,15.00,0.00,
229.00,14.00,162.00,53.00,0.00,0.00,0.00,0.00,-23.00,-2.00,4.00,-18.00,0.00,
230.00,14.00,174.00,-3.00,0.00,-3.00,0.00,-3.00,30.00,-2.00,26.00,0.00,0.00,
231.00,14.00,192.00,8.00,1.00,0.00,3.00,-1.00,84.00,-1.00,-5.00,0.00,0.00,
232.00,14.00,162.00,5.00,2.00,-2.00,3.00,0.00,-1.00,0.00,224.00,4.00,0.00,
233.00,14.00,172.00,-3.00,1.00,-2.00,3.00,0.00,39.00,0.00,-229.00,0.00,0.00,
234.00,14.00,167.00,-7.00,1.00,1.00,3.00,3.00,39.00,-7.00,-436.00,0.00,0.00,
235.00,8.00,129.00,-9.00,0.00,-1.00,0.00,-3.00,61.00,0.00,182.00,-2.00,0.00,
236.00,14.00,78.00,-6.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,0.00,
237.00,14.00,53.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.00,7.00,0.00,
238.00,14.00,75.00,9.00,0.00,0.00,0.00,0.00,13.00,0.00,-8.00,29.00,0.00,
239.00,14.00,26.00,-1.00,0.00,0.00,0.00,0.00,4.00,0.00,-10.00,-3.00,1.00,
240.00,13.00,0.00,-22.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.00,30.00,0.00,
241.00,13.00,120.00,-44.00,0.00,0.00,0.00,0.00,49.00,-1.00,-99.00,0.00,0.00,
242.00,12.00,178.00,-33.00,5.00,-1.00,3.00,0.00,1.00,-2.00,-114.00,-1.00,0.00,
243.00,13.00,188.00,1.00,0.00,-1.00,0.00,-3.00,8.00,-1.00,-41.00,-8.00,0.00,
244.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
245.00,14.00,133.00,0.00,2.00,2.00,3.00,3.00,39.00,0.00,-45.00,3.00,0.00,
246.00,13.00,35.00,-81.00,0.00,0.00,0.00,0.00,-12.00,-2.00,8.00,7.00,0.00,
247.00,12.00,113.00,-2.00,0.00,-1.00,0.00,-3.00,3.00,1.00,-11.00,-1.00,0.00,
248.00,13.00,171.00,-21.00,0.00,0.00,0.00,0.00,54.00,-3.00,1091.00,-1.00,0.00,
249.00,10.00,71.00,0.00,1.00,0.00,3.00,0.00,6.00,0.00,10.00,-1.00,0.00,
250.00,14.00,165.00,30.00,0.00,-1.00,0.00,-3.00,41.00,2.00,-54.00,-2.00,0.00,
251.00,14.00,93.00,-27.00,0.00,-2.00,0.00,-3.00,-37.00,0.00,333.00,0.00,0.00,
